name,dist_ly,x,y,z,spect,temp,size,color,brightness,comp_val,comp_desc,stage,image,has_planets,planet_count,visible_from
Earth (Sun),0.0,0.0,0.0,0.0,G2V,5757,1.007,Yellow,1.0,1.0,Solar metallicity,Main Sequence,images/sun.jpg,TRUE,8,"Solar System (Earth/Sun) (Home Star), Proxima Centauri System (4.2 ly away), Barnard's Star System (6.0 ly away)"
Proxima Centauri,4.23,-1.54,-1.18,-3.75,M5Ve,3383,0.022,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/proxima.jpg,TRUE,3,"Proxima Centauri System (0.4 ly away), Solar System (Earth/Sun) (4.2 ly away), Barnard's Star System (7.1 ly away)"
Toliman,4.32,-1.62,-1.35,-3.77,K1V,4996,0.888,Orange,0.441,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,TRUE,1,"Proxima Centauri System (0.3 ly away), Solar System (Earth/Sun) (4.3 ly away), Barnard's Star System (7.0 ly away)"
Rigil Kentaurus,4.32,-1.62,-1.35,-3.77,G2V,5568,1.338,Yellow,1.5431,1.0,Solar metallicity,Main Sequence,images/sun.jpg,TRUE,1,"Proxima Centauri System (0.3 ly away), Solar System (Earth/Sun) (4.3 ly away), Barnard's Star System (7.0 ly away)"
Barnard's Star,5.95,-0.06,-5.92,0.49,sdM4,3691,0.052,Yellow,0.0004,0.5,Metal-poor,Subdwarf,images/barnard.jpg,TRUE,1,"Barnard's Star System (1.0 ly away), Solar System (Earth/Sun) (5.9 ly away), Proxima Centauri System (6.2 ly away)"
Wolf 359,7.8,-7.45,2.12,0.95,M6,3169,0.024,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,2,"Wolf 359 System (Home Star), Solar System (Earth/Sun) (7.8 ly away), Proxima Centauri System (8.3 ly away)"
Lalande 21185,8.31,-6.52,1.64,4.88,M2V,3791,0.175,Red,0.0057,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (4.1 ly away), Solar System (Earth/Sun) (8.3 ly away), Ross 128 System (9.0 ly away)"
Gliese Gl 65A,8.57,7.41,3.41,-2.64,dM5.5e,3333,0.023,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Tau Ceti System (3.4 ly away), Epsilon Eridani System (5.1 ly away), Solar System (Earth/Sun) (8.6 ly away)"
Gliese Gl 65B,8.57,7.41,3.41,-2.64,dM5.5e,12000,0.01,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Tau Ceti System (3.4 ly away), Epsilon Eridani System (5.1 ly away), Solar System (Earth/Sun) (8.6 ly away)"
Sirius,8.6,-1.61,8.08,-2.47,A0m...,10014,1.591,White,22.8244,1.4,Metal-rich,Main Sequence,images/sirius.jpg,FALSE,0,"Ross 128 System (6.4 ly away), Epsilon Eridani System (7.8 ly away), Solar System (Earth/Sun) (8.6 ly away)"
Gliese Gl 244B,8.6,-1.61,8.08,-2.47,DA2,10516,0.015,White,0.0025,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Ross 128 System (6.4 ly away), Epsilon Eridani System (7.8 ly away), Solar System (Earth/Sun) (8.6 ly away)"
Ross 154,9.69,1.91,-8.65,-3.91,M3.5Ve,3779,0.055,Red,0.0005,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (6.4 ly away), Proxima Centauri System (7.9 ly away), Solar System (Earth/Sun) (9.7 ly away)"
Ross 248,10.33,7.38,-0.58,7.19,dM6  e,3277,0.032,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Solar System (Earth/Sun) (10.3 ly away), Barnard's Star System (10.8 ly away), Tau Ceti System (12.2 ly away)"
Ran,10.49,6.19,8.29,-1.72,K2V,5048,0.709,Orange,0.293,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,TRUE,1,"Epsilon Eridani System (Home Star), Tau Ceti System (5.5 ly away), Solar System (Earth/Sun) (10.5 ly away)"
Lacaille 9352,10.68,8.42,-2.03,-6.26,M2/M3V,3819,0.237,Red,0.0107,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,2,"Gliese 876 System (6.7 ly away), Tau Ceti System (7.9 ly away), Proxima Centauri System (10.3 ly away)"
Ross 128,10.94,-10.93,0.59,0.15,M4.5V,3457,0.052,Red,0.0003,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,1,"Wolf 359 System (3.9 ly away), Proxima Centauri System (10.4 ly away), Solar System (Earth/Sun) (10.9 ly away)"
EZ Aqr,11.08,10.01,-3.72,-2.92,M5  e,3190,0.031,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 876 System (4.3 ly away), Tau Ceti System (8.8 ly away), Solar System (Earth/Sun) (11.1 ly away)"
